i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
264,99544046807,-0.31502,0.12345,-9.64848,-0.00237,0.00612,-0.00230,38.57
265,99544921758,-0.22438,0.18092,-9.64848,-0.00663,0.01038,-0.00550,38.57
266,99545796709,0.01892,0.50655,-9.69152,-0.00663,0.00505,-0.00443,38.57
267,99546671660,0.18111,0.65021,-9.71543,0.00083,-0.00240,0.00090,38.58
268,99547546611,-0.00971,0.46345,-9.65805,0.00296,-0.00666,0.00516,38.58
269,99548421562,-0.26731,0.21923,-9.61501,0.00509,-0.00134,0.00409,38.58
270,99549296362,-0.27208,0.11388,-9.61023,0.00083,0.00399,-0.00337,38.58
271,99550171153,-0.12420,0.30064,-9.65805,-0.00130,0.01038,-0.00443,38.58
272,99551045944,0.11910,0.62627,-9.72021,0.00083,0.00079,-0.00230,38.58
273,99551920735,0.16680,0.63106,-9.70587,0.00615,-0.00666,0.00196,38.58
274,99552795526,-0.10989,0.34373,-9.64848,0.00722,-0.00240,0.00196,38.58
275,99553670317,-0.28162,0.15697,-9.58632,0.00615,0.00079,-0.00017,38.58
276,99554545108,-0.20530,0.17134,-9.59110,-0.00130,0.00825,-0.00656,38.57
277,99555419899,-0.00017,0.46345,-9.68196,-0.00130,0.01038,-0.00763,38.58
278,99556294690,0.20496,0.69331,-9.74890,0.00083,0.00399,-0.00123,38.58
279,99557169481,0.08570,0.54007,-9.69630,0.00402,0.00719,0.00090,38.58
280,99558044127,-0.21484,0.25754,-9.63892,0.00296,0.00825,-0.00230,38.57
281,99558918773,-0.27685,0.11388,-9.62936,-0.00024,0.00932,-0.00763,38.57
282,99559793419,-0.14328,0.22880,-9.69630,-0.00343,0.00932,-0.00763,38.57
283,99560668065,0.08570,0.57838,-9.78237,-0.00130,0.00505,-0.00443,38.57
284,99561542711,0.18111,0.66458,-9.74412,0.00615,0.00719,-0.00017,38.57
285,99562417357,-0.04787,0.42514,-9.67239,0.00722,0.00186,0.00196,38.57
286,99563292003,-0.27685,0.21923,-9.62936,0.00189,0.00079,0.00196,38.57
287,99564166649,-0.25300,0.14740,-9.60545,-0.00450,-0.00027,-0.00230,38.57
288,99565041295,-0.06695,0.35331,-9.66283,-0.00770,0.00292,-0.00337,38.57
289,99565915941,0.15249,0.64064,-9.72499,-0.00343,0.00292,0.00090,38.57
290,99566790699,0.09524,0.59275,-9.68674,0.00083,0.00505,0.00622,38.56
291,99567665457,-0.20053,0.31979,-9.62457,0.00189,0.01145,0.00516,38.56
292,99568540215,-0.31025,0.15219,-9.61501,0.00083,0.01038,0.00196,38.56
293,99569414973,-0.21007,0.21923,-9.65326,-0.00663,0.00932,-0.00017,38.56
294,99570289731,0.01414,0.54007,-9.71543,-0.00557,0.00612,-0.00337,38.56
295,99571164489,0.20973,0.67416,-9.72499,0.00083,0.00505,0.00303,38.56
296,99572039247,0.05231,0.47303,-9.65326,0.00615,0.00292,0.00516,38.56
297,99572914005,-0.24346,0.24317,-9.62936,0.00509,0.00505,0.00622,38.57
298,99573788763,-0.27208,0.14740,-9.65326,-0.00130,0.00186,-0.00123,38.57
299,99574663521,-0.09081,0.28627,-9.69152,-0.00343,0.00399,-0.00123,38.57
300,99575538183,0.14772,0.58317,-9.75368,-0.00024,0.00399,0.00196,38.57
301,99576412845,0.16203,0.57359,-9.74412,0.00189,-0.00240,0.00303,38.57
302,99577287507,-0.10035,0.31500,-9.67717,0.00083,-0.00347,0.00196,38.57
303,99578162169,-0.27685,0.16176,-9.63414,0.00083,0.00079,-0.00230,38.57
304,99579036831,-0.22438,0.15219,-9.64848,-0.00024,0.00719,-0.00123,38.57
305,99579911493,-0.00017,0.42035,-9.72021,-0.00024,0.00825,-0.00337,38.57
306,99580786155,0.22405,0.62627,-9.76325,0.00189,0.00186,0.00409,38.57
